1000 10000
355 755 22280
60 632 0
175 746 96070
508 583 98820
871 945 75440
246 710 54190
382 728 0
56 797 83510
181 971 11330
293 833 4060
236 316 580
498 907 26010
623 966 0
351 358 87910
376 683 0
312 911 4340
178 514 86780
660 908 85830
802 888 0
647 804 65320
823 994 17570
94 487 60240
32 54 54270
280 319 0
321 874 79470
563 992 7760
800 886 2910
573 752 13580
91 236 77210
323 727 0
128 881 66740
197 957 0
161 192 0
311 748 5860
115 156 43580
706 991 41120
149 792 83170
361 921 14090
384 462 39710
169 307 98940
830 933 0
114 930 51590
35 797 0
229 675 940
205 648 57930
246 593 90010
246 526 87130
156 919 50960
794 965 57040
39 717 75560
168 775 76320
629 679 8930
296 978 94930
2 72 25740
433 553 23630
187 727 73220
53 481 62180
407 787 1960
293 448 20540
124 634 39020
260 394 93880
573 861 66280
613 773 14740
176 779 49510
550 969 19130
389 560 0
257 891 0
183 412 20870
432 969 0
459 719 74580
330 999 96230
332 733 90610
30 414 0
333 341 32230
784 891 0
452 689 35560
141 622 8880
58 482 63760
227 937 61210
109 754 31510
75 672 66310
417 651 7240
519 713 5440
521 791 99390
212 289 94760
47 614 0
181 215 76220
74 366 47410
108 902 0
895 971 73430
60 926 12290
113 848 81990
638 668 99380
456 498 0
782 945 84380
226 857 0
401 576 91770
507 545 47580
510 809 34260
221 854 72440
121 600 0
247 857 40140
673 931 99120
451 784 55480
310 953 4610
889 914 0
83 551 44280
144 168 72980
738 786 0
534 969 0
104 879 65210
124 664 0
69 723 43810
529 692 53980
278 590 19910
256 645 57320
360 970 26780
608 832 21890
758 914 1380
291 565 59660
528 858 0
345 798 0
150 644 19270
386 708 10690
347 662 56440
417 687 99140
469 756 59790
318 481 0
216 559 71270
110 449 0
256 628 15140
295 564 36740
64 760 53320
550 599 29770
359 968 33370
451 754 9610
103 301 0
193 905 0
351 955 34830
780 803 0
469 477 73310
924 953 9970
118 765 26910
515 859 59420
34 777 40710
312 548 14160
58 829 28840
547 870 36570
358 547 0
390 943 1210
536 823 24940
580 788 89730
247 886 43680
44 489 64240
425 894 8240
507 517 67640
41 526 33910
376 575 0
400 828 42960
391 909 92930
121 765 0
415 834 0
336 621 79120
121 868 31690
338 686 73580
243 603 19910
232 946 81270
552 928 20620
332 931 31240
146 635 24780
460 538 86290
209 220 42940
225 846 71030
339 957 53110
727 802 93990
208 602 0
477 732 71790
272 576 15780
189 558 69420
242 895 99560
151 426 4590
136 378 51980
657 956 0
418 584 82540
160 482 0
396 698 92290
418 772 6160
344 790 94320
851 963 97260
515 729 31260
177 879 27380
688 819 31640
704 781 33030
227 857 0
26 432 39470
639 698 17030
363 765 0
155 267 30740
672 901 0
146 812 3880
503 769 37220
20 643 18590
707 725 0
163 611 25090
227 294 9240
94 465 13020
37 588 0
209 868 16060
236 441 36280
174 927 21760
33 227 16090
334 543 0
348 545 0
67 979 99830
225 645 0
25 551 14920
429 525 48590
104 746 6630
518 905 82490
550 566 81610
624 883 94390
228 291 79860
809 920 1710
587 1000 97290
4 155 0
336 685 70920
651 660 0
248 373 3230
251 629 24430
375 563 0
138 925 6730
54 826 27310
28 239 93670
273 422 76010
71 223 56440
427 610 49310
479 591 91660
482 756 24290
168 745 89380
367 632 0
70 907 77730
441 584 360
219 407 0
201 463 52720
196 633 38310
187 705 10640
141 841 96860
9 765 52580
795 932 11330
144 962 52740
271 745 87240
642 723 96070
92 637 61680
546 714 22560
162 544 84770
117 214 0
586 778 0
244 923 68870
70 523 64520
416 461 3770
314 493 98630
675 998 34910
161 648 64680
4 657 22390
781 796 16960
245 939 0
51 952 59790
541 869 32010
396 536 99510
71 117 0
701 994 81340
290 479 54590
181 997 52480
380 901 7820
3 996 82710
142 782 36410
322 651 71870
666 695 60980
416 819 38270
138 470 73530
854 906 16130
37 449 95760
561 855 0
681 832 39280
190 838 62170
124 260 15630
82 884 4780
595 741 0
246 770 0
165 759 54970
87 597 41340
51 247 68160
388 996 37790
59 289 17030
238 275 60910
428 788 59740
305 700 79460
482 711 60670
260 642 65380
261 722 77540
157 272 19060
348 431 31320
96 797 8590
26 846 52130
114 706 86590
734 780 5990
182 384 71390
172 415 62730
352 506 90430
630 785 68710
742 992 29520
516 645 0
370 569 32590
33 117 170
85 234 0
409 620 44130
311 530 34530
486 514 73520
277 966 0
470 544 0
61 805 0
188 993 87610
70 857 6720
501 916 63790
75 409 29910
285 773 0
516 779 0
106 550 74960
155 391 32020
429 966 57560
21 940 84980
856 925 0
205 519 80960
619 702 92090
80 237 65410
19 463 0
426 807 23410
71 509 0
352 787 14930
95 604 86330
311 801 19640
208 289 60820
558 576 74120
19 672 83820
555 605 2960
139 488 96640
178 425 16870
176 322 33360
117 625 90320
272 472 0
595 811 0
123 192 73160
461 486 49240
370 607 77910
315 653 93920
577 952 0
344 903 0
388 672 25830
163 845 60240
550 809 95570
27 665 94490
25 438 0
379 631 27130
151 535 87990
85 752 87060
404 730 0
231 783 57620
600 808 65010
586 982 62580
334 578 0
382 526 5590
261 954 24420
533 767 30040
233 328 29740
137 164 20830
508 531 0
460 959 0
911 958 0
349 573 0
48 233 14460
202 398 20440
324 478 41260
1 694 79390
27 420 5810
304 768 0
152 675 60830
197 900 17160
44 764 27310
87 139 9060
561 693 32490
590 976 62360
222 414 8030
325 870 84860
424 490 52080
75 296 49390
249 827 21010
392 546 83460
291 808 73740
3 361 9370
419 877 62170
484 887 0
688 966 98980
367 766 42830
191 242 66040
371 854 28360
313 759 0
195 200 58960
637 739 55070
362 655 30190
384 484 0
686 789 0
157 653 75430
176 766 0
49 878 44570
177 197 99640
221 544 41020
217 987 0
33 128 33060
360 977 70560
457 912 55780
675 776 23560
415 761 94230
67 727 58780
429 968 31370
121 301 38530
46 47 49620
147 417 41370
343 684 52430
199 477 35060
101 823 62390
275 779 74890
119 251 0
462 671 13210
39 346 57990
655 917 54890
443 574 24120
1 723 38430
443 757 97410
184 746 39590
360 959 21540
301 783 69380
598 841 23590
91 105 87520
103 694 78370
36 507 72340
771 1000 92440
946 973 76130
118 749 33420
297 978 48410
20 812 62140
53 549 67680
408 600 67880
216 408 0
116 126 0
483 535 86410
453 711 62320
19 175 48510
615 643 55980
610 764 16360
433 622 67560
96 687 620
312 536 48130
178 483 15310
166 313 89360
156 514 18180
618 669 57680
925 983 90670
437 975 87580
212 505 54510
156 689 97260
548 603 49890
424 625 0
394 442 0
262 997 83590
285 961 18580
319 379 0
388 472 0
645 926 90620
777 967 28030
218 380 82210
217 387 0
202 444 72980
743 890 28840
477 697 69040
418 497 0
19 853 40630
964 967 0
106 172 82910
446 868 55230
50 658 29940
54 653 59630
279 969 73770
363 629 19910
290 491 74940
196 534 99980
562 824 31630
540 644 11670
24 927 20160
2 49 23080
326 797 85830
451 916 79240
356 362 87030
483 696 56110
20 29 78090
452 891 96620
86 949 48730
110 907 0
415 680 0
188 786 83860
118 243 49640
146 194 0
353 654 53580
843 848 87110
50 545 94590
783 796 8670
529 820 25740
303 422 29160
344 846 58740
722 896 58170
56 956 0
61 549 0
64 873 0
163 325 10570
131 421 0
270 951 74380
474 830 88120
100 750 0
40 544 31990
14 883 0
3 621 0
169 586 0
250 854 0
381 995 87740
555 956 0
154 332 16020
58 138 0
251 474 8460
526 944 0
372 762 39160
126 512 96720
316 733 96780
509 841 64620
435 976 21660
646 691 76630
548 734 87130
279 618 90640
330 416 26160
342 703 44920
361 951 76960
147 362 0
438 447 10830
86 764 23540
455 864 38990
176 641 12640
219 426 65090
294 372 0
448 851 0
623 686 74210
681 1000 75070
358 971 42340
244 435 64710
720 948 24130
130 336 0
609 904 80890
654 806 32330
632 943 51270
19 90 45020
368 556 73090
13 431 29590
37 69 36240
54 471 66090
552 694 0
185 805 0
690 967 27410
120 292 34880
87 304 16840
629 730 210
102 692 19310
544 887 0
168 628 70240
120 755 9490
395 711 78530
134 277 65090
141 741 0
158 273 60820
28 312 31810
272 820 8870
90 718 0
275 371 0
283 938 0
437 907 76970
474 720 73320
251 522 0
394 468 39780
217 494 51310
501 865 33330
102 602 0
618 999 0
323 791 0
175 431 27780
930 934 39630
495 765 97560
368 463 36470
94 622 73540
658 686 15280
433 662 50270
184 729 98810
341 555 78510
131 591 50460
121 651 0
154 589 41180
124 311 92040
435 701 97290
432 981 44070
283 683 5580
641 891 9670
304 869 81060
231 629 47290
296 349 91360
113 432 33490
526 955 58010
178 925 0
427 872 77010
309 853 0
612 614 11970
529 989 75220
92 413 93010
297 377 0
568 615 88080
191 359 0
152 423 51180
152 636 12970
204 986 47780
426 539 22020
231 963 75880
42 981 49880
190 579 6310
198 892 0
55 962 41780
146 650 37130
1 365 51260
444 734 76280
468 488 0
568 792 0
239 564 0
57 831 32240
823 905 0
386 558 0
76 769 0
536 737 20440
379 442 51580
79 576 28840
395 736 92230
160 499 0
96 274 93860
731 873 79640
589 805 98670
204 626 85170
207 770 0
74 486 39410
461 560 39370
254 279 11530
237 565 86360
635 893 65910
56 868 84680
886 893 0
294 877 58620
206 838 0
273 673 96290
512 947 0
132 752 0
676 907 0
744 958 0
496 731 85210
11 189 84910
77 732 33880
365 393 8490
732 878 55740
395 497 0
157 816 8560
912 969 63020
103 685 53590
10 148 54720
251 683 81130
42 328 43020
208 394 15660
569 910 29520
466 585 23690
232 243 53180
843 980 96080
264 808 9630
170 556 0
426 738 80190
773 906 70140
90 853 81280
781 991 0
511 632 0
83 175 12810
649 693 93830
33 1000 58870
60 644 4960
633 793 77890
176 786 79810
95 534 74370
661 970 14530
153 307 45260
391 443 14630
291 495 76310
73 410 61310
364 370 95520
288 439 36990
351 444 0
78 645 89140
58 892 8270
630 789 82220
53 419 0
137 209 97810
178 734 40540
39 281 0
573 584 25070
40 412 0
562 618 91720
475 985 6120
254 439 3980
55 151 65280
199 685 34160
204 358 29720
160 242 35560
714 832 22170
250 701 0
99 333 49340
138 598 47790
144 275 61040
54 124 0
244 570 60110
106 527 15180
30 288 67460
254 432 32040
195 874 0
883 926 27460
478 592 56710
150 958 26910
306 866 0
254 907 57120
120 471 12060
130 480 44210
429 762 97810
120 132 45590
382 861 94910
376 549 32770
21 535 0
54 734 0
930 938 45460
144 178 7130
352 547 4690
689 708 5920
163 870 29580
228 368 34060
170 314 29680
103 253 17780
572 665 38110
121 831 76930
396 667 0
184 428 93920
251 370 9360
99 953 20310
377 407 37790
318 331 48240
241 395 4730
6 530 14810
113 822 36810
400 959 73030
327 567 0
227 329 37860
852 996 0
464 750 21690
323 848 0
277 516 96310
427 552 4570
871 955 0
310 354 0
604 952 0
109 529 74490
41 236 16590
141 338 91010
173 700 45160
595 786 74810
609 856 0
284 793 98680
169 532 29540
373 866 0
113 876 66610
676 761 94470
208 857 23540
142 164 43220
54 491 77280
91 461 0
259 511 6810
611 790 7510
63 554 0
796 874 39460
940 964 30220
33 587 0
562 840 94160
259 996 0
304 938 67290
748 949 96430
116 208 40830
379 979 88870
899 937 32710
677 752 34710
451 981 73780
239 698 84540
669 747 0
35 502 33880
1 495 75720
352 493 8090
586 824 40580
31 879 99790
293 594 0
190 267 64280
244 408 46310
878 966 11130
132 366 43480
922 975 87080
23 595 91920
736 745 55790
281 901 80840
83 844 62380
221 242 11720
35 956 97990
58 847 15410
631 889 33570
5 633 61720
248 626 7540
52 284 0
268 514 76370
590 970 90640
97 218 95680
87 833 33380
347 647 15910
298 317 25580
160 450 76790
93 285 24970
700 913 69480
88 206 90040
740 978 46660
106 916 97970
141 696 76330
116 421 57730
575 791 17280
136 666 67480
142 859 21140
930 975 40930
456 646 14890
866 937 30520
386 431 0
905 969 86620
142 531 94190
518 807 96070
629 691 0
426 666 0
343 651 77360
832 886 69460
771 855 61860
518 927 0
268 795 1160
385 678 92390
166 200 70740
75 208 23880
573 850 78190
299 831 98010
194 378 53560
53 95 0
154 163 57930
236 669 0
946 954 3430
576 899 61040
306 758 57280
376 586 0
108 301 880
510 810 27830
418 797 0
751 910 0
528 740 36980
159 604 97540
48 778 20260
51 560 23780
317 817 28770
518 811 0
225 395 66080
31 738 18360
144 468 18230
115 200 1070
820 934 33320
200 750 20030
441 977 49940
704 786 22690
213 271 45890
444 538 0
200 386 49210
205 267 16270
410 783 41180
714 865 0
152 692 75370
642 846 0
682 966 49020
97 852 71740
129 928 0
312 840 57040
509 696 4740
64 222 0
99 630 99480
262 614 22870
432 482 15670
221 905 49140
95 532 11510
603 784 66290
30 564 0
742 803 30760
77 437 21680
133 822 27670
493 687 0
537 750 39860
190 858 32040
376 472 58590
464 845 87560
333 668 24630
7 253 48990
576 984 2040
450 766 0
316 972 3220
306 438 52880
506 547 97320
301 331 19220
104 318 50730
74 368 85720
403 480 61280
128 714 7440
565 597 14930
143 181 42170
179 474 0
450 968 68440
4 957 93090
336 339 92130
627 852 0
127 280 14410
101 932 87530
167 380 0
415 523 94080
558 780 36430
319 632 29130
342 832 92020
411 522 75180
173 826 0
606 638 72020
652 1000 8730
518 663 50340
382 711 64890
486 738 82310
363 851 63820
35 554 12470
71 320 76430
167 433 12740
445 843 12420
746 835 19880
638 873 59620
437 701 82870
167 817 0
82 707 75710
510 742 0
124 164 4590
633 726 8020
169 874 86210
111 988 40860
83 640 79980
338 947 0
308 317 0
335 583 68520
297 457 72120
986 990 18880
532 755 10790
297 843 18090
166 528 17040
109 921 0
353 913 10870
791 991 83460
381 597 90180
541 807 0
96 507 85790
541 888 38580
492 566 0
443 892 9520
19 863 30860
471 490 77110
230 376 8190
402 907 81620
8 615 3170
93 904 81880
348 804 8780
885 898 10230
596 895 5940
125 882 9570
177 383 81120
25 597 17410
13 280 26470
49 478 0
79 129 46480
801 887 44980
280 385 86660
377 521 26360
203 518 90330
103 333 0
274 773 96560
455 609 99470
334 829 34070
654 876 31230
329 986 58560
761 966 18030
16 715 0
91 715 17590
740 845 61940
241 708 3770
261 368 12530
445 811 0
254 407 66060
606 851 58560
109 863 97740
330 503 91140
95 407 40290
41 607 75730
73 571 22020
349 413 0
477 701 69020
124 446 170
481 860 0
317 954 80610
345 491 3930
397 745 87440
750 824 68480
133 367 0
525 744 99380
109 860 39760
551 718 44510
259 968 330
608 816 90580
229 569 0
310 700 52370
85 616 79740
11 444 18840
232 303 28620
49 738 32490
88 421 0
296 982 46330
30 115 6370
539 712 61880
154 828 65320
494 917 88960
53 233 0
532 845 0
243 817 28120
53 825 32920
666 984 36770
152 889 27920
2 832 95540
454 765 20340
121 998 0
634 949 0
265 626 92790
569 753 0
506 844 0
30 760 34620
878 939 0
569 807 10420
7 762 0
178 703 45760
73 856 30510
384 849 45780
99 991 54110
121 210 76340
193 267 54980
236 825 0
212 950 64660
501 622 25280
103 488 46260
461 898 0
225 416 80480
54 890 98520
714 834 76580
255 620 70520
818 879 98180
4 278 0
821 898 35590
36 368 7460
256 749 1940
49 768 0
239 692 0
649 980 65620
25 554 47690
174 258 7390
425 849 91510
325 463 55030
549 988 20920
866 928 18740
433 589 98490
855 874 97990
686 933 51380
294 800 31060
308 889 98010
393 426 99460
8 971 95730
236 963 35320
212 873 54830
176 266 38760
267 535 36570
325 940 71520
277 967 59510
303 804 15260
688 711 68620
512 900 79230
288 607 63890
216 432 38640
38 853 12970
363 628 1220
32 480 0
478 620 0
329 354 0
9 34 81860
449 651 79080
431 706 41970
586 777 0
815 876 21120
207 322 0
392 692 0
418 475 15020
758 908 44130
70 703 9760
413 754 43840
431 722 0
449 664 0
330 513 16280
180 908 28090
128 790 43280
560 978 33160
219 779 79910
132 493 0
286 439 0
404 774 94280
608 877 0
14 831 47980
145 451 34740
517 859 0
93 399 0
239 376 14930
702 875 88060
555 604 18090
147 934 75330
110 171 0
134 453 19570
164 361 6630
574 965 22660
110 649 13560
131 793 0
178 217 94820
99 334 55980
702 738 56670
407 740 0
426 776 87740
372 987 60870
200 753 0
180 620 72280
221 257 0
860 891 19810
283 988 74220
496 850 28060
476 545 0
265 803 81870
109 317 39370
70 649 31720
18 991 81210
422 635 96240
229 339 26270
242 360 88830
284 623 4290
85 365 21620
103 189 16890
454 714 59070
55 123 19860
153 480 0
737 865 0
18 477 19610
599 741 0
419 508 79340
30 717 50390
215 728 80570
99 479 36070
109 961 71330
15 969 92960
233 827 61520
362 726 51640
35 62 7690
7 463 61610
383 689 73280
107 760 0
139 835 13130
238 751 68580
352 469 0
812 853 18160
106 427 49840
838 924 9060
770 940 0
796 824 92010
633 763 82610
245 249 0
6 970 9230
166 720 78540
175 237 56110
110 210 19240
76 867 80330
259 454 64770
405 898 23730
33 936 49140
39 486 0
426 779 90030
43 260 0
302 688 12310
226 754 23420
95 219 0
276 676 19920
128 584 53780
512 860 52220
104 703 46970
164 889 75660
153 180 0
143 614 0
125 846 90770
169 843 0
315 852 0
479 940 86530
201 438 85240
74 396 93960
450 828 0
488 755 65270
134 294 92470
424 829 14970
431 652 72130
355 988 53360
161 905 93920
146 337 590
44 441 57430
137 529 240
294 418 70370
40 216 90220
513 534 93670
459 937 0
168 880 76890
116 211 85220
540 752 56510
268 452 35770
685 962 46280
457 797 82160
273 648 21140
833 850 45130
723 984 9420
413 709 46220
174 429 87240
564 604 96390
431 573 0
321 687 11260
442 907 78240
365 824 18530
42 949 95410
446 520 46180
781 821 16620
56 581 0
36 205 75910
671 805 0
156 901 94080
95 361 23220
32 34 90920
258 616 0
638 760 3630
515 567 0
106 265 52960
476 490 10020
11 273 0
165 512 49260
584 732 16110
857 887 77280
395 813 80820
11 872 92780
412 850 52930
131 420 28560
558 966 46420
70 327 53270
445 525 0
894 944 79380
178 432 34180
78 760 21570
612 828 17390
659 686 58380
263 849 18110
247 402 18670
468 531 8580
213 813 79410
50 639 10680
681 743 67470
107 626 47740
317 480 230
343 569 96440
131 892 18990
454 471 9720
572 965 43840
468 848 94910
25 469 30630
501 880 44110
109 458 89120
639 640 72720
13 772 62070
697 969 34610
553 590 18170
56 877 45140
15 807 63030
419 615 16780
24 989 24410
170 976 38440
747 801 55910
603 735 2570
588 762 7590
241 551 62330
360 420 67010
11 398 77570
137 354 51880
172 173 63680
523 733 71310
31 138 99420
455 529 12010
872 992 0
500 620 11130
251 307 63790
240 951 90480
682 980 66580
274 391 0
233 799 56990
483 997 34480
272 738 19580
690 823 99510
293 956 44370
494 683 88370
91 371 82910
519 962 90740
457 669 47630
365 868 0
249 712 32170
62 384 16380
83 761 0
119 903 33060
10 473 8340
384 559 41940
146 237 46920
82 399 57360
351 987 0
776 812 83140
149 763 9810
77 795 17360
415 435 88810
58 780 0
227 981 68320
304 877 91620
369 932 60
703 764 0
340 901 370
412 989 0
308 434 95170
327 818 58160
435 988 91360
266 856 23570
223 377 95580
573 598 88170
501 642 81590
68 159 18820
126 749 3420
424 689 38080
161 590 93260
406 980 44010
122 135 48980
173 423 36530
252 778 520
423 577 11910
271 313 33170
51 843 78520
107 441 29240
325 774 0
230 295 89030
220 395 23810
494 589 24880
18 475 0
718 803 53080
178 373 46570
245 287 0
91 897 96890
782 817 77180
194 719 0
599 969 53060
911 932 39190
92 831 7590
221 691 88660
562 878 15520
12 577 3680
578 648 9210
285 943 87990
917 945 50270
652 720 19840
236 357 25470
885 889 65560
474 597 0
316 822 54190
288 559 82970
496 804 0
38 511 20540
506 634 28020
458 927 0
837 849 0
627 871 70340
400 538 14760
26 781 0
281 849 60530
40 177 78110
428 996 27060
619 952 84940
711 809 0
882 925 36930
154 897 78520
262 355 17780
3 100 0
236 489 89190
317 981 96770
197 911 0
465 524 72870
98 741 0
59 810 0
119 916 4580
76 410 23630
191 769 38430
722 886 0
361 721 60190
75 583 52940
179 533 45710
16 395 68690
374 754 81390
317 867 0
375 831 52720
761 898 46890
293 674 57310
571 704 0
452 686 62230
57 638 59970
167 269 54770
361 754 26940
376 716 11430
141 963 93570
546 723 53570
893 940 0
129 407 62130
504 596 0
241 700 47870
586 876 92930
235 791 92460
228 832 1970
235 554 13490
405 720 31310
237 581 84980
140 440 20690
872 965 0
342 500 0
45 640 34110
254 717 29070
698 990 24030
698 904 54960
137 505 0
198 943 13430
902 939 74440
32 941 43060
71 177 56930
767 861 0
106 763 18120
651 958 92670
581 739 13260
820 838 60380
611 708 26440
599 668 46730
22 351 30190
283 454 36320
2 756 93830
86 608 75730
190 817 18820
431 919 47180
110 767 39280
263 401 0
155 229 34130
885 976 25070
622 766 12190
307 565 0
516 802 83090
544 851 66680
700 845 96230
126 131 87330
37 334 66780
237 437 36370
242 909 0
405 789 18240
6 838 62590
629 661 0
33 101 37990
363 811 0
395 714 0
431 725 52070
459 983 28040
862 950 41830
176 476 54360
473 744 54690
60 304 50740
505 881 56960
12 793 98240
236 634 9770
61 244 38570
568 606 23120
458 698 15970
284 528 41960
369 879 90640
136 176 71160
55 185 9190
60 419 0
83 983 50310
512 672 93880
670 738 15680
158 635 0
630 645 0
232 698 35020
419 950 47520
917 993 24770
461 687 0
15 335 39060
816 992 0
45 862 17240
534 906 81390
149 312 38670
229 849 12520
547 726 31360
82 436 80220
222 730 81610
19 507 27640
247 253 62510
276 892 0
55 423 0
447 913 77280
756 824 0
360 974 0
445 777 21270
76 796 55420
828 954 38670
112 949 49440
193 257 27460
61 337 59630
216 259 98340
500 977 42740
488 967 99080
357 690 7510
51 846 0
544 921 16270
231 418 89120
385 835 82920
14 614 43840
144 502 410
541 722 16940
285 825 84320
85 562 0
788 891 27380
499 644 79380
84 652 42030
239 998 0
619 927 52470
303 573 62130
296 359 88170
576 793 86260
314 568 64940
167 548 12120
473 911 0
10 537 86860
540 922 69140
560 880 92310
11 950 0
822 897 33620
33 798 41510
528 752 0
267 843 69420
390 806 39630
181 399 420
593 706 96170
331 378 1460
230 700 95840
617 653 0
97 796 41220
336 934 94320
56 166 51530
785 807 39930
155 390 90280
462 577 47980
207 631 2390
325 613 74170
375 398 10740
312 405 41040
320 451 15880
154 232 91130
341 444 6020
42 181 66080
169 577 67820
768 847 0
70 939 2930
197 579 89290
303 372 14820
389 504 42780
84 668 31980
355 458 80760
822 840 28730
99 202 51190
155 906 98390
597 744 2970
108 162 27470
408 988 68020
170 647 19820
160 599 42860
388 565 0
206 579 97270
485 515 24870
124 719 18860
542 780 31770
334 602 96180
404 413 0
268 505 81470
496 626 0
853 867 360
372 761 27610
260 903 96430
207 724 99060
654 686 36870
316 337 760
617 631 42480
143 787 10690
288 742 55960
374 678 81560
351 479 49720
64 358 65630
474 642 83720
892 961 62030
856 862 87920
62 128 55730
553 852 48990
150 422 92070
397 956 56940
288 440 0
333 883 68030
522 808 36840
173 434 40520
157 201 50330
352 659 87960
181 690 78830
695 798 30610
205 698 85120
254 748 45420
165 848 4310
445 707 22840
133 956 0
278 824 64440
27 437 57840
191 672 64940
19 824 58230
515 842 92210
515 764 77630
168 496 63490
240 563 15080
569 902 87820
620 967 78920
156 519 50360
151 260 96220
300 364 0
205 459 86130
92 257 14430
290 597 0
352 777 57690
332 746 10140
216 837 0
78 759 86780
73 607 15660
340 484 12030
486 952 7070
225 863 20080
488 597 43780
300 671 75360
848 940 15370
189 527 87010
390 890 45440
10 423 37410
90 709 58280
634 881 0
364 637 0
371 535 930
116 971 94710
250 303 660
369 607 35940
100 579 80870
701 817 11620
386 480 0
391 687 30740
290 335 96520
529 921 0
99 562 10330
292 491 83330
145 832 94410
326 755 0
15 65 0
434 973 83120
493 761 95770
47 818 55860
258 850 61920
344 774 94760
417 570 3770
550 976 83580
464 681 58240
676 955 49110
785 920 77890
518 733 8280
68 229 3230
400 452 86360
738 918 42980
443 767 72090
543 900 0
142 237 0
81 669 0
348 457 27370
540 548 0
300 301 63230
464 965 0
236 748 66230
561 935 39430
25 288 32870
63 817 0
119 709 0
677 903 0
124 518 97020
642 793 60990
106 556 0
28 568 20170
47 885 10160
328 607 30160
273 563 0
353 696 16740
300 396 41890
445 965 92180
235 242 56910
635 912 0
271 944 64790
66 788 69860
675 760 37430
79 260 0
44 509 93010
295 919 25240
235 299 77480
478 600 95690
292 582 93060
188 564 99290
325 776 95060
806 811 69620
216 511 15410
904 964 32180
795 874 42010
306 718 0
807 928 61560
308 710 62120
262 548 64020
673 841 0
257 772 19380
138 939 66290
362 772 0
147 604 61780
571 706 32620
80 271 8520
477 496 2970
794 981 0
27 442 72270
76 812 21090
733 832 0
40 140 76290
315 429 11290
167 662 85990
6 458 0
302 871 74470
441 786 0
134 934 40960
514 823 0
317 327 14530
300 582 45310
334 425 52230
514 900 0
415 842 11910
318 417 57380
363 867 47910
104 527 83480
189 915 26020
63 746 0
772 952 65790
377 598 0
235 917 0
334 603 15370
138 238 29190
10 662 44580
524 666 10960
455 900 46670
277 623 37190
164 379 82970
470 651 0
932 948 22090
148 226 40940
87 116 22760
326 582 0
558 660 33020
264 831 50480
204 571 0
153 251 29410
619 855 0
38 423 92320
354 586 43040
538 921 5090
158 723 5280
304 412 6180
482 700 43660
120 148 24230
191 440 0
264 273 0
33 46 57410
120 328 37110
559 689 22970
446 866 27730
21 444 88310
554 724 93880
225 528 78590
324 447 72560
616 653 85120
175 958 38120
55 504 12520
22 202 0
526 945 82490
24 838 11010
164 857 18980
678 843 4660
860 969 92880
425 531 0
333 845 22290
500 975 64060
467 670 92980
458 527 0
36 267 75390
572 864 0
413 742 14680
32 273 76120
466 746 38840
358 406 55270
20 674 15490
636 689 0
535 772 7170
132 879 24010
72 388 86370
148 213 93960
111 445 55770
499 831 74210
632 802 57180
315 836 33220
837 880 31980
361 613 54440
436 495 9310
554 708 61780
127 555 0
303 581 42690
758 982 75380
850 866 81360
15 42 80280
149 478 24280
471 644 64320
197 233 3240
340 585 3560
290 795 17510
753 759 27320
123 323 0
542 935 69640
283 651 33030
178 192 0
585 971 59580
342 498 9140
610 829 81390
481 644 1210
60 178 11170
437 676 88980
373 863 82160
173 980 43790
364 508 0
101 604 0
484 758 63630
21 912 94880
105 207 74340
394 425 9040
188 472 80360
374 912 58770
351 595 0
536 574 0
646 932 0
140 201 6780
35 41 77490
421 634 53690
189 756 40140
170 633 0
447 784 0
261 888 69620
415 991 61480
856 969 13720
193 853 98480
68 187 79640
12 632 34130
249 872 0
147 328 51630
66 91 86670
17 717 45760
39 224 0
187 828 30810
622 958 57330
281 450 65230
760 903 17440
342 807 0
63 654 73510
178 322 73530
925 985 0
291 948 0
660 716 0
139 788 0
639 701 19710
49 619 38220
701 820 0
473 925 15380
198 519 93160
232 914 0
25 171 82980
503 746 57810
403 964 0
230 721 70290
273 909 38720
378 788 0
216 848 9820
260 668 67040
473 897 93240
235 936 96820
53 442 15340
198 978 55210
652 794 92260
189 822 0
889 953 89220
926 936 56820
123 495 97560
170 411 51980
401 493 0
136 155 130
583 633 81460
402 871 49610
172 482 1910
575 804 12830
242 865 85640
534 752 47680
432 867 34430
62 150 0
429 441 86110
509 653 20070
275 677 60990
788 905 0
519 795 76630
124 929 81920
767 976 0
52 483 61880
189 420 38630
716 852 1170
909 953 40430
154 294 46940
258 259 17560
619 748 47760
654 838 66890
595 944 0
699 941 51690
758 770 82260
919 926 94480
219 331 67340
193 969 55690
367 476 77040
603 663 63490
6 905 33410
525 735 69970
209 887 38130
164 711 96940
786 824 20540
241 652 49170
454 507 11930
564 988 9470
137 433 0
349 644 4020
248 726 96680
158 661 54730
284 871 0
67 938 13490
205 866 0
84 565 0
55 792 90990
341 884 51530
632 906 30510
47 385 20340
141 422 81280
250 632 0
365 855 10920
48 672 14860
551 561 86130
138 534 50890
42 346 39540
461 563 57720
90 452 70520
107 302 0
298 647 59760
249 586 74310
189 695 98670
226 303 29040
12 197 22770
739 960 4790
344 962 73180
29 90 37670
51 383 78430
393 432 36580
381 683 98270
211 864 48490
175 364 54790
584 829 0
194 471 73770
194 308 390
721 964 38520
239 570 36590
99 326 9160
50 572 92090
11 542 37560
13 224 380
457 947 0
78 430 85780
205 774 15320
121 416 39080
546 642 92410
369 980 0
122 801 97510
54 702 5340
